Drive,Description, Historic Average Current,Shift Current Hi,Shift Current Low,Shift Average,Delta Current High,Delta Current Low,Shift
1,Conveyor 1,5.10,5.56,4.58,6.10,0.46,0.52,1
2,Conveyor 2,6.50,7.07,5.87,6.20,0.57,0.63,1
3,Conveyor  3,5.60,6.25,5.03,4.70,0.65,0.57,1
4,Conveyor  4,4.40,5.01,3.83,4.90,0.61,0.57,1
5,Conveyor  5,4.80,5.38,4.35,4.40,0.58,0.45,1
6,Conveyor  6,4.60,5.08,4.16,5.00,0.48,0.44,1
7,Conveyor  7,6.30,6.93,5.77,5.30,0.63,0.53,1
8,Conveyor  8,4.80,5.27,4.32,4.80,0.47,0.48,1
9,Conveyor  9,4.40,4.85,3.76,5.80,0.45,0.64,1
10,Conveyor 10,6.40,7.06,5.77,6.20,0.66,0.63,1
11,Conveyor 11,4.90,5.35,4.36,5.00,0.45,0.54,1
12,Conveyor 12,6.30,15.00,8.00,9.00,8.70,-1.70,1
13,Conveyor 13,4.60,5.20,4.10,5.90,0.60,0.50,1
14,Conveyor 14,4.70,5.27,4.21,4.80,0.57,0.49,1
15,Conveyor 15,6.00,6.48,5.38,6.60,0.48,0.62,1
16,Conveyor 16,4.90,5.46,4.29,6.40,0.56,0.61,1
17,Conveyor 17,5.90,6.48,5.33,4.50,0.58,0.57,1
18,Conveyor 18,5.60,6.04,5.06,5.80,0.44,0.54,1
19,Conveyor 19,5.50,6.09,4.92,5.40,0.59,0.58,1
20,Conveyor 20,5.50,5.94,4.93,6.20,0.44,0.57,1
21,Conveyor 21,6.30,6.94,5.67,5.70,0.64,0.63,1
22,Conveyor 22,4.50,4.97,3.87,5.90,0.47,0.63,1
23,Conveyor 23,5.10,5.64,4.61,5.90,0.54,0.49,1
24,Conveyor 24,6.50,7.01,6.04,4.40,0.51,0.46,1
25,Conveyor 25,4.70,5.31,4.23,4.50,0.61,0.47,1
26,Conveyor 26,4.50,5.16,3.89,4.70,0.66,0.61,1
27,Conveyor 27,4.50,4.95,4.00,5.80,0.45,0.50,1
28,Conveyor 29,6.40,6.96,5.78,6.50,0.56,0.62,1
41,Blower 1,11.30,11.83,10.80,4.50,0.53,0.50,1
42,Blower 2,12.60,13.16,12.06,4.60,0.56,0.54,1
43,Blower 3,10.80,11.44,10.23,4.80,0.64,0.57,1
1,Conveyor 1,6.10,6.63,5.49,6.00,0.53,0.61,2
2,Conveyor 2,5.90,6.42,5.27,6.50,0.52,0.63,2
3,Conveyor  3,4.60,5.12,4.05,6.40,0.52,0.55,2
4,Conveyor  4,5.90,6.38,5.32,5.70,0.48,0.58,2
5,Conveyor  5,6.30,6.79,5.78,6.40,0.49,0.52,2
6,Conveyor  6,5.50,6.13,4.91,5.90,0.63,0.59,2
7,Conveyor  7,6.10,6.55,5.57,5.10,0.45,0.53,2
8,Conveyor  8,6.30,6.85,5.82,5.20,0.55,0.48,2
9,Conveyor  9,5.90,6.53,5.37,4.60,0.63,0.53,2
10,Conveyor 10,5.70,6.16,5.24,6.00,0.46,0.46,2
11,Conveyor 11,6.60,7.05,5.98,4.80,0.45,0.62,2
12,Conveyor 12,5.30,14.90,9.10,10.10,9.60,-3.80,2
13,Conveyor 13,5.40,5.88,4.79,5.90,0.48,0.61,2
14,Conveyor 14,5.00,5.56,4.39,4.80,0.56,0.61,2
15,Conveyor 15,6.20,6.73,5.69,4.80,0.53,0.51,2
16,Conveyor 16,5.30,5.84,4.83,4.50,0.54,0.47,2
17,Conveyor 17,5.90,6.54,5.27,4.90,0.64,0.63,2
18,Conveyor 18,6.30,6.95,5.80,6.20,0.65,0.50,2
19,Conveyor 19,4.90,5.34,4.25,6.60,0.44,0.65,2
20,Conveyor 20,4.40,4.96,3.88,6.00,0.56,0.52,2
21,Conveyor 21,5.40,5.84,4.78,4.90,0.44,0.62,2
22,Conveyor 22,5.80,6.30,5.24,5.90,0.50,0.56,2
23,Conveyor 23,4.50,5.09,3.87,6.10,0.59,0.63,2
24,Conveyor 24,5.70,6.29,5.26,4.90,0.59,0.44,2
25,Conveyor 25,4.40,5.02,3.93,6.10,0.62,0.47,2
26,Conveyor 26,5.60,6.18,5.11,4.70,0.58,0.49,2
27,Conveyor 27,6.30,6.80,5.70,4.90,0.50,0.60,2
