"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,Location,NRC Region,Licensee,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Contructor,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent)
"Arkansas Nuclear One, Unit 1",Arkansas Nuclear 1,5000313,"London, AR (6 MI WNW of Russellville,ÊÊAR)",4,"Entergy Operations, Inc.",PWR-DRYAMB,B&W LLP,BECH,BECH,12/6/68,5/21/74,12/19/74,6/20/01,5/20/34,2568,,0.98,0.56,1.02,0.87,0.9,0.99,0.83,,0.78,0.92,0.92
"Arkansas Nuclear One, Unit 2",Arkansas Nuclear 2,5000368,"London, AR (6 MI WNW of Russellville,ÊÊAR)",4,"Entergy Operations, Inc.",PWR-DRYAMB,CE,BECH,BECH,12/6/72,9/1/78,3/26/80,6/30/05,7/17/38,3026,,0.85,0.91,0.93,0.9,0.97,0.9,0.91,,0.91,0.99,0.9
"Beaver Valley Power Station, Unit 1",Beaver Valley 1,5000334,"Shippingport, PA(17 MI W of McCandless,ÊÊPA)",1,First Energy Nuclear Operating Co.,PWR-DRYAMB,WEST 3LP,S&W,S&W,6/26/70,7/2/76,10/1/76,11/5/09,1/29/36,2900,,0.86,0.86,0.92,1.01,0.91,0.92,1.01,,1.01,0.93,0.83
"Beaver Valley Power Station, Unit 2",Beaver Valley 2,5000412,"Shippingport, PA (17 MI W of McCandless,ÊÊPA)",1,First Energy Nuclear Operating Co.,PWR-DRYAMB,WEST 3LP,S&W,S&W,5/3/74,8/14/87,11/17/87,11/5/09,5/27/47,2900,,0.98,0.97,0.91,1.02,0.84,0.87,1.03,,0.93,1,0.91
"Braidwood Station, Unit 1",Braidwood 1,5000456,"Braceville, IL (20 MI SSW of Joliet,ÊÊIL)",3,"Exelon Generation Co., LLC",PWR-DRYAMB,WEST 4LP,S&L,CWE,12/31/75,7/2/87,7/29/88,N/A,10/17/26,3645,,1.03,0.95,0.91,1.01,0.89,0.95,1.01,,1,0.95,0.97
"Braidwood Station, Unit 2",Braidwood 2,5000457,"Braceville, IL (20 MI SSW of Joliet,ÊÊIL)",3,"Exelon Generation Co., LLC",PWR-DRYAMB,WEST 4LP,S&L,CWE,12/31/75,5/20/88,10/17/88,N/A,12/18/27,3645,,0.96,0.98,0.93,0.93,0.99,0.93,0.92,,0.94,1.01,0.96
"Browns Ferry Nuclear Plant, Unit 1",Browns Ferry 1,5000259,"Limestone County, AL (10 miles south of Athens, AL  and 32 MI W of Huntsville,ÊÊAL)",2,Tenessee Valley Authority ,BWR-MARK 1,GE 4,TVA,TVA,5/10/67,12/20/73,8/1/74,5/4/06,12/20/33,3458,,0.9,0.94,0.88,0.91,0.86,0.94,0.88,,,,
"Browns Ferry Nuclear Plant, Unit 2",Browns Ferry 2,5000260,"Limestone County, AL (10 miles south of Athens, AL  and 32 MI W of Huntsville,ÊÊAL)",2,Tenessee Valley Authority ,BWR-MARK 1,GE 4,TVA,TVA,5/10/67,6/28/74,3/1/75,5/4/06,6/28/34,3458,,0.98,0.79,0.99,0.8,0.91,0.94,0.98,,0.9,1,0.86
"Browns Ferry Nuclear Plant, Unit 3",Browns Ferry 3,5000296,"Limestone County, AL (10 miles south of Athens, AL  and 32 MI W of Huntsville,ÊÊAL)",2,Tenessee Valley Authority ,BWR-MARK 1,GE 4,TVA,TVA,7/31/68,7/2/76,3/1/77,5/4/06,7/2/36,3458,,0.88,0.89,0.83,0.87,0.81,0.95,0.81,,0.94,0.89,0.96
"Brunswick Steam Electric Plant, Unit 1",Brunswick 1,5000325,"Southport, NC (20 MI S of Wilmington, NC)",2,"Duke Energy Progress, Inc.",BWR-MARK 1,GE 4,UE&C,BRRT,2/7/70,9/8/76,3/18/77,6/26/06,9/8/36,2923,,0.89,0.92,0.77,1,0.83,0.98,0.85,,0.94,0.86,1.01
"Brunswick Steam Electric Plant, Unit 2",Brunswick 2,5000324,"Southport, NC (20 MI S of Wilmington, NC)",2,"Duke Energy Progress, Inc.",BWR-MARK 1,GE 4,UE&C,BRRT,2/7/70,12/27/74,11/3/75,6/26/06,12/27/34,2923,,0.98,0.73,0.98,0.79,0.99,0.8,0.95,,0.86,0.98,0.99
"Byron Station, Unit 1",Byron 1,5000454,"Byron, Il (17 MI SW of Rockford,ÊÊIL)",3,"Exelon Generation Co., LLC",PWR-DRYAMB,WEST 4LP,S&L,CWE,12/31/75,2/14/85,9/16/85,N/A,10/31/24,3645,,0.97,0.96,0.88,0.88,1.01,0.94,0.95,,0.94,1.02,0.94
"Byron Station, Unit 2",Byron 2,5000455,"Byron, Il (17 MI SW of Rockford,ÊÊIL)",3,"Exelon Generation Co., LLC",PWR-DRYAMB,WEST 4LP,S&L,CWE,12/31/75,1/30/87,8/2/87,N/A,11/6/26,3645,,0.94,0.86,0.94,0.93,0.96,1.02,0.96,,0.96,0.96,1.01
Callaway Plant,Callaway,5000483,"Fulton, MO (25 MI ENE of Jefferson City,ÊÊMO)",4,Union Electric Co.,PWR-DRYAMB,WEST 4LP,BECH,DANI,4/16/76,10/18/84,12/19/84,3/6/15,10/18/44,3565,,0.89,0.77,1.03,0.9,0.86,0.98,0.9,,0.77,0.78,0.97
"Calvert Cliffs Nuclear Power Plant, Unit 1",Calvert Cliffs 1,5000317,"Lusby, MD (40 MI S of Annapolis,ÊÊMD)",1,"Calvert Cliffs Nuclear Power Plant, LLC _ Owner
Exelon Generation Company, LLC _ Operator",PWR-DRYAMB,CE,BECH,BECH,7/7/69,7/31/74,5/8/75,3/23/00,7/31/34,2737,,0.91,0.97,0.81,1.01,0.9,0.98,0.93,,1,0.92,1.02
"Calvert Cliffs Nuclear Power Plant, Unit 2",Calvert Cliffs 2,5000318,"Lusby, MD (40 MI S of Annapolis,ÊÊMD)",1,Calvert Cliffs Nuclear Power Plant Inc.,PWR-DRYAMB,CE,BECH,BECH,7/7/69,8/13/76,4/1/77,3/23/00,8/13/36,2737,,1,0.81,1.01,0.92,0.97,0.93,0.99,,0.94,1,0.82
